Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2013,01,1071 100,01041000,LIVE SHEEP,United Arab Emirates,"10,000",UN,"300,000.00","300,000.00","9,196,283.15","489,161.40",0.00,0.00
2013,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,United States,"5,802,495",UN,"26,224.00","19,668.00","9,128,683.05","485,565.66",0.00,0.00
2013,01,1000 101,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",France,,,"109,350.00","108,000.00","9,058,319.08","481,822.92",0.00,0.00
2013,01,1071 100,12010000,Soya beans,Malaysia,,,"921,840.00","920,000.00","8,795,300.28","467,832.63",0.00,0.00
2013,01,1000 101,63041900,Bedspreads (excl. knitted or crocheted),Italy,,M2,"96,144.50","93,520.00","8,413,800.82","447,540.22",0.00,0.00
2013,01,1000 100,06021000,UNROOTED CUTTINGS AND SLIPS,Netherlands,"11,336,611",UN,"46,812.00","41,021.00","8,254,552.98","439,069.63",0.00,0.00
2013,01,1000 100,61069000,"WOMEN'S OR GIRLS' BLOUSES ETC. OF OTHER TEXTILES NES, KNITTED OR CROCHETED",Germany,"285,570",UN,"29,514.00","27,195.40","8,120,153.34","431,920.75",0.00,0.00
2013,01,1071 100,01061910,---Camels,Saudi Arabia,738,UN,"295,800.00","295,800.00","7,864,718.25","418,333.85",0.00,0.00
2013,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Hong Kong,,,"16,214.00","15,724.50","7,846,367.14","417,357.73",0.00,0.00
2013,01,1000 100,12074000,Sesamum seeds,Yemen,,,"280,560.00","280,000.00","7,801,645.92","414,978.96",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of",,,"88,705.00","87,600.00","7,782,417.47","413,956.17",0.00,0.00
2013,01,1000 100,23064900,"OIL-CAKE AND OTHER SOLID RESIDUES OF RAPE OR COLZA SEEDS ,NES",China,,,"1,813,119.00","1,809,500.00","7,671,064.44","408,033.17",0.00,0.00
2013,01,1071 100,06031100,--Roses,Saudi Arabia,"2,855,505",,"128,692.33","113,232.25","7,667,171.63","407,826.11",0.00,0.00
2013,01,1000 505,64029900,"FOOTWEAR, NES, NOT COVERING THE ANKLE, OF RUBBER OR PLASTICS",United States,"44,500",2UN,"40,881.00","22,464.00","7,409,245.05","394,106.68",0.00,0.00
