Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2009,01,1000 100,01061910,---Camels,Sudan,534,UN,"133,500.00","133,500.00","2,390,314.19","201,325.22",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Switzerland,,,"190,380.00","190,000.00","2,360,132.02","198,783.11",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Germany,,,"54,660.00","54,000.00","2,347,418.18","197,712.28",0.00,0.00
2009,01,1000 505,12079900,"Other oil seeds and oleaginous fruits, nes",Israel,,,"78,885.76","75,476.00","2,291,978.36","193,042.84",0.00,0.00
2009,01,1000 100,26159000,"Niobium, tantalum and vanadium ores and concentrates",China,,,"19,345.00","19,345.00","2,217,871.15","186,801.13",0.00,0.00
2009,01,1000 100,41139000,OTHER LEATHER PREPARED AFTER TANNING OR CRUSTING...NES,Italy,,,"5,712.90","5,330.80","2,185,057.87","184,037.42",0.00,0.00
2009,01,1000 100,09101000,Ginger,Sudan,,,"342,896.00","340,020.00","2,154,925.48","181,499.51",0.00,0.00
2009,01,1000 505,64039900,"FOOTWEAR WITH RUBBER... SOLES, LEATHER UPPERS, NOT COVERING THE ANKLE",Netherlands,"15,515",2UN,"18,671.00","17,453.00","2,110,870.01","177,788.92",0.00,0.00
2009,01,1071 100,17031000,Cane molasses resulting from the extraction or refining of sugar,Djibouti,,,"4,953,000.00","4,953,000.00","2,109,467.12","177,670.76",0.00,0.00
2009,01,1071 100,06031100,--Roses,Japan,"1,082,685",,"54,448.00","49,747.00","2,087,331.52","175,806.38",0.00,0.00
2009,01,1071 100,12074000,Sesamum seeds,Greece,,,"152,000.00","151,696.00","1,948,600.85","164,121.73",0.00,0.00
2009,01,1000 100,52121400,"Coloured woven fabrics of cotton, =<200g/m2, nes",Italy,,M,"32,030.24","30,292.66","1,817,811.19","153,105.91",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Singapore,,,"152,304.00","152,000.00","1,800,655.99","151,661.01",0.00,0.00
2009,01,1000 100,07031000,"Onions and shallots, fresh or chilled",Djibouti,,,"830,750.00","772,384.00","1,797,960.86","151,434.01",0.00,0.00
